VideoName,ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,2,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,6,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,5,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,8,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,6,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,6,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,8,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,4,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,1,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,6,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,3,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,6,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,6,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,8,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,1,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,8,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,6,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,7,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,6,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,6,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,3,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,6,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,5,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,5,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,8,X
00001.mp4,1,56,B,2,2,2,641,0,0,0,0,0,8,X
00001.mp4,2,63,B,2,2,2,618,0,0,0,0,0,2,X
00001.mp4,2,63,B,2,2,2,618,0,0,0,0,0,7,X
00001.mp4,2,63,B,2,2,2,618,0,0,0,0,0,8,X
00001.mp4,2,63,B,2,2,2,618,0,0,0,0,0,8,X
00001.mp4,2,63,B,2,2,2,618,0,0,0,0,0,5,X
00001.mp4,2,63,B,2,2,2,618,0,0,0,0,0,7,X
00001.mp4,2,63,B,2,2,2,618,0,0,0,0,0,3,X
00001.mp4,2,63,B,2,2,2,618,0,0,0,0,0,3,X
00001.mp4,2,63,B,2,2,2,618,0,0,0,0,0,1,X
00001.mp4,2,63,B,2,2,2,618,0,0,0,0,0,6,X
00001.mp4,2,63,B,2,2,2,618,0,0,0,0,0,5,X
00001.mp4,2,63,B,2,2,2,618,0,0,0,0,0,6,X
00001.mp4,2,63,B,2,2,2,618,0,0,0,0,0,6,X
00001.mp4,2,63,B,2,2,2,618,0,0,0,0,0,6,X
00001.mp4,2,63,B,2,2,2,618,0,0,0,0,0,6,X
00001.mp4,2,63,B,2,2,2,618,0,0,0,0,0,6,X
00001.mp4,2,63,B,2,2,2,618,0,0,0,0,0,3,X
00001.mp4,2,63,B,2,2,2,618,0,0,0,0,0,7,X
